character1	character2	mssim
A	A	1
A	E	0.245641
A	F	0.349567
A	H	0.349347
A	K	0.286365
A	L	0.253397
A	M	0.3506
A	N	0.290794
A	T	0.25156
A	V	0.287898
A	W	0.4042
A	X	0.187363
A	Y	0.219572
A	Z	0.264447
A	k	0.279637
A	v	0.305292
A	w	0.258306
A	x	0.280121
A	z	0.336537
A	\	0.162893
A	^	0.172631
A	-	0.399372
A	=	0.325706
A	#	0.285126
A	>	0.352304
A	¯	0.238859
A	[	0.0661003
A	|	0.220969
A	+	0.37086
A	]	0.0986359
A	/	0.182033
A	<	0.358694
A	 	0.388407
A	_	0.263689
E	E	1
E	F	0.814045
E	H	0.666729
E	K	0.49145
E	L	0.767234
E	M	0.404003
E	N	0.50327
E	T	0.341555
E	V	0.32861
E	W	0.406561
E	X	0.255119
E	Y	0.240474
E	Z	0.472471
E	k	0.524389
E	v	0.276621
E	w	0.321648
E	x	0.325253
E	z	0.356342
E	\	0.199551
E	^	0.190194
E	-	0.37835
E	=	0.174188
E	#	0.246408
E	>	0.246403
E	¯	0.146755
E	[	0.226258
E	|	0.120609
E	+	0.223227
E	]	0.0451984
E	/	0.182923
E	<	0.187789
E	 	0.296245
E	_	0.202247
F	F	1
F	H	0.77291
F	K	0.553663
F	L	0.581279
F	M	0.442925
F	N	0.580972
F	T	0.424085
F	V	0.37575
F	W	0.459584
F	X	0.263231
F	Y	0.299405
F	Z	0.425584
F	k	0.584695
F	v	0.322607
F	w	0.375494
F	x	0.314071
F	z	0.312554
F	\	0.195557
F	^	0.33215
F	-	0.520306
F	=	0.296333
F	#	0.302664
F	>	0.38612
F	¯	0.288711
F	[	0.33891
F	|	0.165066
F	+	0.342035
F	]	0.0628573
F	/	0.295644
F	<	0.243945
F	 	0.438201
F	_	0.310963
H	H	1
H	K	0.579885
H	L	0.592466
H	M	0.541807
H	N	0.760682
H	T	0.284568
H	V	0.354179
H	W	0.528998
H	X	0.27843
H	Y	0.249671
H	Z	0.377861
H	k	0.635031
H	v	0.325566
H	w	0.482177
H	x	0.356034
H	z	0.348125
H	\	0.200751
H	^	0.255132
H	-	0.435742
H	=	0.292862
H	#	0.255787
H	>	0.315603
H	¯	0.201443
H	[	0.27902
H	|	0.0752835
H	+	0.275136
H	]	0.17094
H	/	0.20358
H	<	0.26067
H	 	0.354691
H	_	0.236858
K	K	1
K	L	0.560036
K	M	0.489701
K	N	0.591361
K	T	0.376896
K	V	0.35796
K	W	0.489701
K	X	0.41253
K	Y	0.35349
K	Z	0.391574
K	k	0.656214
K	v	0.274055
K	w	0.410829
K	x	0.379553
K	z	0.335431
K	\	0.253161
K	^	0.240155
K	-	0.258144
K	=	0.308789
K	#	0.366227
K	>	0.30604
K	¯	0.172951
K	[	0.221272
K	|	0.160059
K	+	0.322363
K	]	0.0498581
K	/	0.256028
K	<	0.580092
K	 	0.323579
K	_	0.208367
L	L	1
L	M	0.382152
L	N	0.520371
L	T	0.31532
L	V	0.306779
L	W	0.368053
L	X	0.273108
L	Y	0.253064
L	Z	0.404694
L	k	0.61996
L	v	0.353914
L	w	0.399751
L	x	0.368031
L	z	0.436632
L	\	0.300301
L	^	0.303624
L	-	0.375294
L	=	0.31039
L	#	0.207518
L	>	0.310503
L	¯	0.326344
L	[	0.427563
L	|	0.171374
L	+	0.236195
L	]	0.056671
L	/	0.186453
L	<	0.288533
L	 	0.488997
L	_	0.394999
M	M	1
M	N	0.476128
M	T	0.324708
M	V	0.642294
M	W	0.272375
M	X	0.333329
M	Y	0.450404
M	Z	0.421219
M	k	0.477307
M	v	0.423059
M	w	0.307523
M	x	0.325731
M	z	0.357801
M	\	0.190383
M	^	0.154378
M	-	0.29594
M	=	0.27189
M	#	0.40672
M	>	0.314646
M	¯	0.117457
M	[	0.107957
M	|	0.0965054
M	+	0.274375
M	]	0.0878897
M	/	0.19004
M	<	0.307835
M	 	0.268028
M	_	0.155141
N	N	1
N	T	0.285358
N	V	0.308509
N	W	0.551153
N	X	0.464496
N	Y	0.339705
N	Z	0.351399
N	k	0.588386
N	v	0.269454
N	w	0.568934
N	x	0.350527
N	z	0.361994
N	\	0.403745
N	^	0.193457
N	-	0.299611
N	=	0.316749
N	#	0.285312
N	>	0.308854
N	¯	0.138138
N	[	0.18788
N	|	0.089281
N	+	0.230456
N	]	0.136399
N	/	0.184173
N	<	0.306321
N	 	0.291385
N	_	0.176174
T	T	1
T	V	0.433484
T	W	0.261737
T	X	0.314265
T	Y	0.605079
T	Z	0.54377
T	k	0.301821
T	v	0.320625
T	w	0.22817
T	x	0.230636
T	z	0.314372
T	\	0.402236
T	^	0.45063
T	-	0.429068
T	=	0.348375
T	#	0.292684
T	>	0.442879
T	¯	0.424295
T	[	0.108595
T	|	0.548846
T	+	0.439711
T	]	0.16585
T	/	0.37809
T	<	0.433034
T	 	0.573681
T	_	0.443808
V	V	1
V	W	0.226819
V	X	0.402082
V	Y	0.563412
V	Z	0.450919
V	k	0.390262
V	v	0.600758
V	w	0.158735
V	x	0.391605
V	z	0.38397
V	\	0.284475
V	^	0.28656
V	-	0.378887
V	=	0.348175
V	#	0.426158
V	>	0.383312
V	¯	0.240129
V	[	0.0879612
V	|	0.227323
V	+	0.370513
V	]	0.132998
V	/	0.263212
V	<	0.37628
V	 	0.3907
V	_	0.265694
W	W	1
W	X	0.333329
W	Y	0.138299
W	Z	0.423814
W	k	0.44847
W	v	0.248201
W	w	0.631165
W	x	0.353491
W	z	0.381091
W	\	0.187173
W	^	0.177322
W	-	0.29594
W	=	0.27189
W	#	0.40672
W	>	0.314646
W	¯	0.119725
W	[	0.107957
W	|	0.0965054
W	+	0.274375
W	]	0.0878897
W	/	0.19325
W	<	0.307835
W	 	0.268028
W	_	0.152873
X	X	1
X	Y	0.631959
X	Z	0.532336
X	k	0.351847
X	v	0.170087
X	w	0.408733
X	x	0.455392
X	z	0.375577
X	\	0.508361
X	^	0.236995
X	-	0.203943
X	=	0.238214
X	#	0.368746
X	>	0.397748
X	¯	0.159289
X	[	0.0775082
X	|	0.138987
X	+	0.193706
X	]	0.110242
X	/	0.511228
X	<	0.365533
X	 	0.28766
X	_	0.194705
Y	Y	1
Y	Z	0.459697
Y	k	0.303936
Y	v	0.297133
Y	w	0.197819
Y	x	0.232535
Y	z	0.333131
Y	\	0.505675
Y	^	0.40096
Y	-	0.359652
Y	=	0.324317
Y	#	0.36294
Y	>	0.422761
Y	¯	0.323255
Y	[	0.0688967
Y	|	0.466183
Y	+	0.409112
Y	]	0.12924
Y	/	0.414094
Y	<	0.424397
Y	 	0.451625
Y	_	0.324363
Z	Z	1
Z	k	0.474307
Z	v	0.262026
Z	w	0.408504
Z	x	0.349143
Z	z	0.487558
Z	\	0.282955
Z	^	0.241648
Z	-	0.296497
Z	=	0.234145
Z	#	0.439293
Z	>	0.337433
Z	¯	0.21762
Z	[	0.0831322
Z	|	0.238156
Z	+	0.202903
Z	]	0.103648
Z	/	0.490635
Z	<	0.30803
Z	 	0.367006
Z	_	0.253036
k	k	1
k	v	0.393642
k	w	0.521495
k	x	0.512191
k	z	0.442778
k	\	0.280708
k	^	0.205652
k	-	0.369279
k	=	0.365355
k	#	0.324079
k	>	0.352425
k	¯	0.2004
k	[	0.251398
k	|	0.16436
k	+	0.307544
k	]	0.0566893
k	/	0.264689
k	<	0.320666
k	 	0.363053
k	_	0.247842
v	v	1
v	w	0.391098
v	x	0.54273
v	z	0.522782
v	\	0.226276
v	^	0.238544
v	-	0.50045
v	=	0.508197
v	#	0.356112
v	>	0.405237
v	¯	0.324063
v	[	0.132419
v	|	0.269827
v	+	0.455078
v	]	0.177456
v	/	0.224323
v	<	0.422526
v	 	0.501078
v	_	0.376073
w	w	1
w	x	0.525061
w	z	0.548637
w	\	0.327552
w	^	0.153103
w	-	0.439853
